study,level,level_time_s,radius_cm,temperature_signed_error_C,temperature_absolute_error_C,moisture_signed_error,moisture_absolute_error
time,0.5,86400.0,1.9,-1.3869794202037156e-11,1.3869794202037156e-11,8.149952934743965e-12,8.149952934743965e-12
time,0.5,86400.0,2.0,-1.836042429204099e-11,1.836042429204099e-11,-1.3191822634261996e-11,1.3191822634261996e-11
time,0.5,172800.0,0.0,-3.313971319585107e-11,3.313971319585107e-11,-6.896955229152013e-12,6.896955229152013e-12
time,0.5,172800.0,0.1,-3.211653165635653e-11,3.211653165635653e-11,-6.8952066278882285e-12,6.8952066278882285e-12
time,0.5,172800.0,0.2,-3.325340003357269e-11,3.325340003357269e-11,-6.894873560980841e-12,6.894873560980841e-12
time,0.5,172800.0,0.3,-3.268496584496461e-11,3.268496584496461e-11,-6.8925143370535125e-12,6.8925143370535125e-12
time,0.5,172800.0,0.4,-3.200284481863491e-11,3.200284481863491e-11,-6.8910155359702685e-12,6.8910155359702685e-12
time,0.5,172800.0,0.5,-3.171862772433087e-11,3.171862772433087e-11,-6.889933068521259e-12,6.889933068521259e-12
time,0.5,172800.0,0.6,-3.126388037344441e-11,3.126388037344441e-11,-6.8897387794919496e-12,6.8897387794919496e-12
time,0.5,172800.0,0.7,-3.007016857736744e-11,3.007016857736744e-11,-6.890765735789728e-12,6.890765735789728e-12
time,0.5,172800.0,0.8,-2.9899638320785016e-11,2.9899638320785016e-11,-6.894429471770991e-12,6.894429471770991e-12
time,0.5,172800.0,0.9,-2.7682744985213503e-11,2.7682744985213503e-11,-6.901895721611595e-12,6.901895721611595e-12
time,0.5,172800.0,1.0,-2.6489033189136535e-11,2.6489033189136535e-11,-6.912137529013762e-12,6.912137529013762e-12
time,0.5,172800.0,1.1,-2.580691216280684e-11,2.580691216280684e-11,-6.932870943998637e-12,6.932870943998637e-12
time,0.5,172800.0,1.2,-2.5409008230781183e-11,2.5409008230781183e-11,-6.966371923766701e-12,6.966371923766701e-12
time,0.5,172800.0,1.3,-2.461320036672987e-11,2.461320036672987e-11,-7.0169703381139925e-12,7.0169703381139925e-12
time,0.5,172800.0,1.4,-2.404476617812179e-11,2.404476617812179e-11,-7.094103082749825e-12,7.094103082749825e-12
time,0.5,172800.0,1.5,-2.3646862246096134e-11,2.3646862246096134e-11,-7.212702657355408e-12,7.212702657355408e-12
time,0.5,172800.0,1.6,-2.3419488570652902e-11,2.3419488570652902e-11,-7.406381064001266e-12,7.406381064001266e-12
time,0.5,172800.0,1.7,-2.233946361229755e-11,2.233946361229755e-11,-7.748968133824974e-12,7.748968133824974e-12
time,0.5,172800.0,1.8,-1.9326762412674725e-11,1.9326762412674725e-11,-8.491332637028393e-12,8.491332637028393e-12
time,0.5,172800.0,1.9,-1.6655121726216748e-11,1.6655121726216748e-11,-1.0700787478334917e-11,1.0700787478334917e-11
time,0.5,172800.0,2.0,-2.0236257114447653e-11,2.0236257114447653e-11,-1.3076345561913172e-12,1.3076345561913172e-12
time,0.5,259200.0,0.0,-4.121147867408581e-11,4.121147867408581e-11,-3.1255831256515876e-12,3.1255831256515876e-12
time,0.5,259200.0,0.1,-4.177991286269389e-11,4.177991286269389e-11,-3.125333325471047e-12,3.125333325471047e-12
time,0.5,259200.0,0.2,-4.0529357647756115e-11,4.0529357647756115e-11,-3.120254055133387e-12,3.120254055133387e-12
time,0.5,259200.0,0.3,-3.9904080040287226e-11,3.9904080040287226e-11,-3.11134451536077e-12,3.11134451536077e-12
time,0.5,259200.0,0.4,-3.9392489270539954e-11,3.9392489270539954e-11,-3.101241485836681e-12,3.101241485836681e-12
time,0.5,259200.0,0.5,-3.922195901395753e-11,3.922195901395753e-11,-3.0880298318436417e-12,3.0880298318436417e-12
time,0.5,259200.0,0.6,-3.9051428757375106e-11,3.9051428757375106e-11,-3.07096015284003e-12,3.07096015284003e-12
time,0.5,259200.0,0.7,-3.922195901395753e-11,3.922195901395753e-11,-3.050310004582002e-12,3.050310004582002e-12
time,0.5,259200.0,0.8,-3.893774191965349e-11,3.893774191965349e-11,-3.024663852713161e-12,3.024663852713161e-12
