time_s,step_dt_s,C_inf,D_surface,robin_flux,literal_one_sided_diffusive_flux,literal_diffusive_minus_robin,face_diffusive_flux,face_diffusive_minus_robin,surface_control_volume_balance,picard_iterations,picard_final_normalized_residual,temperature_matrix_residual_linf,moisture_matrix_residual_linf,time_step_residual_normalized,time_alignment_error_s
4.625,0.0625,0.019660062500000002,4.900129034129469e-09,1.980634696019357e-06,8.962416057607881e-07,-1.084393090258569e-06,8.991266487116008e-07,-1.081508047307756e-06,1.565784739880407e-17,2,8.974954809838185e-09,1.1368683772161603e-13,4.440892098500626e-16,3.7750673270519884e-16,0.0
4.6875,0.0625,0.01966046875,4.8997496592407105e-09,1.980201077167138e-06,9.030837251136475e-07,-1.0771173520534904e-06,9.06014142437366e-07,-1.0741869347297719e-06,1.586171764129634e-17,2,9.01333630825342e-09,1.1368683772161603e-13,4.440892098500626e-16,3.775066865406235e-16,0.0
4.75,0.0625,0.019660875,4.899372674796702e-09,1.9797703415629207e-06,9.098359148549474e-07,-1.0699344267079733e-06,9.128114848418523e-07,-1.0669588567210685e-06,1.6067712083601645e-17,2,9.050600095080884e-09,1.1368683772161603e-13,4.440892098500626e-16,3.77506640075893e-16,0.0
4.8125,0.0625,0.019661281250000003,4.898998051392636e-09,1.979342452668412e-06,9.164995623565726e-07,-1.0628428903118394e-06,9.195200588755484e-07,-1.0598223937928637e-06,1.6290514835954028e-17,2,9.086771596604748e-09,1.1368683772161603e-13,8.881784197001252e-16,3.775065933131373e-16,0.0
4.875,0.0625,0.0196616875,4.898625760051694e-09,1.978917374502039e-06,9.23076031732138e-07,-1.0558413427699008e-06,9.261412245118437e-07,-1.0527761499901952e-06,1.6484498615765064e-17,2,9.121876239109183e-09,1.1368683772161603e-13,4.440892098500626e-16,3.775065462544444e-16,0.0
4.9375,0.0625,0.01966209375,4.898255772218454e-09,1.978495071629731e-06,9.295666642478532e-07,-1.0489284073818779e-06,9.326763191469704e-07,-1.0458187524827606e-06,1.6697871509134343e-17,2,9.155938403962575e-09,1.1368683772161603e-13,8.881784197001252e-16,3.7750649890186177e-16,0.0
5.0,0.0625,0.019662500000000003,4.8978880597523975e-09,1.978075509155853e-06,9.359727787261787e-07,-1.0421027304296743e-06,9.391266579931198e-07,-1.038948851162733e-06,1.688738189619269e-17,2,9.188982124228044e-09,1.1368683772161603e-13,4.440892098500626e-16,3.775064512573973e-16,0.0
5.0625,0.0625,0.01966290625,4.897522594921512e-09,1.9776586527143047e-06,9.422956719417282e-07,-1.0353629807725765e-06,9.454935344641716e-07,-1.032165118250133e-06,1.7113480136105486e-17,2,9.221030562205555e-09,1.1368683772161603e-13,4.440892098500626e-16,3.77506403323021e-16,0.0
5.125,0.0625,0.019663312500000002,4.897159350396007e-09,1.977244468459766e-06,9.485366190102392e-07,-1.0287078494495267e-06,9.517782205548451e-07,-1.0254662479049207e-06,1.7284567556561054e-17,2,9.252107228500334e-09,1.1368683772161603e-13,8.881784197001252e-16,3.7750635510066586e-16,0.0
5.1875,0.0625,0.01966371875,4.896798299242112e-09,1.9768329230591076e-06,9.54696873769952e-07,-1.0221360492891556e-06,9.579819672126035e-07,-1.0188509558465042e-06,1.7509190106261053e-17,2,9.282233718038667e-09,1.1368683772161603e-13,4.440892098500626e-16,3.7750630659222893e-16,0.0
5.25,0.0625,0.019664125,4.8964394149159705e-09,1.9764239836829323e-06,9.6077766915643e-07,-1.0156463145265023e-06,9.641060047033323e-07,-1.0123179789796e-06,1.7689098580768887e-17,2,9.311432670662622e-09,1.7053025658242404e-13,8.881784197001252e-16,5.662593866993594e-16,0.0
5.3125,0.0625,0.019664531250000002,4.896082671257644e-09,1.976017617997279e-06,9.66780217570177e-07,-1.009237400427102e-06,9.701515429701297e-07,-1.0058660750271491e-06,1.788992479860696e-17,2,9.339724636382695e-09,5.684341886080802e-14,4.440892098500626e-16,1.887531043622633e-16,0.0
5.375,0.0625,0.0196649375,4.895728042485189e-09,1.975613794155462e-06,9.727057112376278e-07,-1.0029080829178342e-06,9.761197719857874e-07,-9.994940221696745e-07,1.806088648760942e-17,2,9.3671313842778e-09,1.1368683772161603e-13,4.440892098500626e-16,3.7750615936888603e-16,0.0
