test_case,reference_case,time_s,position_label,position_cm,C_ref_kg_kg,C_test_kg_kg,signed_error,absolute_error
N80_dt0.125,N80_dt0.0625_ref,5.875,surface,2.0,2.4852569909677094,2.4853902781966397,0.0001332872289303566,0.0001332872289303566
N80_dt0.125,N80_dt0.0625_ref,5.875,r_1.5cm,1.5,2.550000000000001,2.550000000000014,1.2878587085651816e-14,1.2878587085651816e-14
N80_dt0.125,N80_dt0.0625_ref,5.875,r_1.0cm,1.0,2.55,2.55,0.0,0.0
N80_dt0.125,N80_dt0.0625_ref,5.875,center,0.0,2.55,2.55,0.0,0.0
N80_dt0.125,N80_dt0.0625_ref,6.0,surface,2.0,2.484304854546116,2.484437750474552,0.00013289592843612752,0.00013289592843612752
N80_dt0.125,N80_dt0.0625_ref,6.0,r_1.5cm,1.5,2.550000000000001,2.550000000000014,1.2878587085651816e-14,1.2878587085651816e-14
N80_dt0.125,N80_dt0.0625_ref,6.0,r_1.0cm,1.0,2.55,2.55,0.0,0.0
N80_dt0.125,N80_dt0.0625_ref,6.0,center,0.0,2.55,2.55,0.0,0.0
N80_dt0.125,N80_dt0.0625_ref,6.125,surface,2.0,2.483363826092046,2.4834962923490567,0.00013246625701057724,0.00013246625701057724
N80_dt0.125,N80_dt0.0625_ref,6.125,r_1.5cm,1.5,2.550000000000001,2.550000000000014,1.2878587085651816e-14,1.2878587085651816e-14
N80_dt0.125,N80_dt0.0625_ref,6.125,r_1.0cm,1.0,2.55,2.55,0.0,0.0
N80_dt0.125,N80_dt0.0625_ref,6.125,center,0.0,2.55,2.55,0.0,0.0
N80_dt0.125,N80_dt0.0625_ref,6.25,surface,2.0,2.482433641687546,2.4825656426473626,0.00013200095981646953,0.00013200095981646953
N80_dt0.125,N80_dt0.0625_ref,6.25,r_1.5cm,1.5,2.550000000000001,2.550000000000014,1.2878587085651816e-14,1.2878587085651816e-14
N80_dt0.125,N80_dt0.0625_ref,6.25,r_1.0cm,1.0,2.55,2.55,0.0,0.0
N80_dt0.125,N80_dt0.0625_ref,6.25,center,0.0,2.55,2.55,0.0,0.0
N80_dt0.125,N80_dt0.0625_ref,6.375,surface,2.0,2.48151404515168,2.481645547790549,0.00013150263886885227,0.00013150263886885227
N80_dt0.125,N80_dt0.0625_ref,6.375,r_1.5cm,1.5,2.550000000000001,2.550000000000014,1.2878587085651816e-14,1.2878587085651816e-14
N80_dt0.125,N80_dt0.0625_ref,6.375,r_1.0cm,1.0,2.55,2.55,0.0,0.0
N80_dt0.125,N80_dt0.0625_ref,6.375,center,0.0,2.55,2.55,0.0,0.0
N80_dt0.125,N80_dt0.0625_ref,6.5,surface,2.0,2.480604787791219,2.4807357615510024,0.00013097375978343706,0.00013097375978343706
